Time Constant,Position Constant,Time Earth,Position Earth,Time Mars,Position Mars
0,1,0,1,0,1
0.1,5.95,0.1,1.105,0.1,1.0858
0.2,10.8,0.2,1.22,0.2,1.1816
0.3,15.55,0.3,1.345,0.3,1.2874
0.4,20.2,0.4,1.48,0.4,1.4032
0.5,24.75,0.5,1.625,0.5,1.529
0.6,29.2,0.6,1.78,0.6,1.6648
0.7,33.55,0.7,1.945,0.7,1.8106
0.8,37.8,0.8,2.12,0.8,1.9664
0.9,41.95,0.9,2.305,0.9,2.1322
1,46,1,2.5,1,2.308
1.1,49.95,1.1,2.705,1.1,2.4938
1.2,53.8,1.2,2.92,1.2,2.6896
1.3,57.55,1.3,3.145,1.3,2.8954
1.4,61.2,1.4,3.38,1.4,3.1112
1.5,64.75,1.5,3.625,1.5,3.337
1.6,68.2,1.6,3.88,1.6,3.5728
1.7,71.55,1.7,4.145,1.7,3.8186
1.8,74.8,1.8,4.42,1.8,4.0744
1.9,77.95,1.9,4.705,1.9,4.3402
2,81,2,5,2,4.616
2.1,83.95,2.1,5.305,2.1,4.9018
2.2,86.8,2.2,5.62,2.2,5.1976
2.3,89.55,2.3,5.945,2.3,5.5034
2.4,92.2,2.4,6.28,2.4,5.8192
2.5,94.75,2.5,6.625,2.5,6.145
2.6,97.2,2.6,6.98,2.6,6.4808
2.7,99.55,2.7,7.345,2.7,6.8266
2.8,101.8,2.8,7.72,2.8,7.1824
2.9,103.95,2.9,8.105,2.9,7.5482
3,106,3,8.5,3,7.924
3.1,107.95,3.1,8.905,3.1,8.3098
3.2,109.8,3.2,9.32,3.2,8.7056
3.3,111.55,3.3,9.745,3.3,9.1114
3.4,113.2,3.4,10.18,3.4,9.5272
3.5,114.75,3.5,10.625,3.5,9.953
3.6,116.2,3.6,11.08,3.6,10.3888
3.7,117.55,3.7,11.545,3.7,10.8346
3.8,118.8,3.8,12.02,3.8,11.2904
3.9,119.95,3.9,12.505,3.9,11.7562
4,121,4,13,4,12.232
4.1,121.95,4.1,13.505,4.1,12.7178
4.2,122.8,4.2,14.02,4.2,13.2136
4.3,123.55,4.3,14.545,4.3,13.7194
4.4,124.2,4.4,15.08,4.4,14.2352
4.5,124.75,4.5,15.625,4.5,14.761
4.6,125.2,4.6,16.18,4.6,15.2968
4.7,125.55,4.7,16.745,4.7,15.8426
4.8,125.8,4.8,17.32,4.8,16.3984
4.9,125.95,4.9,17.905,4.9,16.9642
5,126,5,18.5,5,17.54
5.1,125.95,5.1,19.105,5.1,18.1258
5.2,125.8,5.2,19.72,5.2,18.7216
5.3,125.55,5.3,20.345,5.3,19.3274
5.4,125.2,5.4,20.98,5.4,19.9432
5.5,124.75,5.5,21.625,5.5,20.569
5.6,124.2,5.6,22.28,5.6,21.2048
5.7,123.55,5.7,22.945,5.7,21.8506
5.8,122.8,5.8,23.62,5.8,22.5064
5.9,121.95,5.9,24.305,5.9,23.1722
6,121,6,25,6,23.848
6.1,119.95,6.1,25.705,6.1,24.5338
6.2,118.8,6.2,26.42,6.2,25.2296
6.3,117.55,6.3,27.145,6.3,25.9354
6.4,116.2,6.4,27.88,6.4,26.6512
6.5,114.75,6.5,28.625,6.5,27.377
6.6,113.2,6.6,29.38,6.6,28.1128
6.7,111.55,6.7,30.145,6.7,28.8586
6.8,109.8,6.8,30.92,6.8,29.6144
6.9,107.95,6.9,31.705,6.9,30.3802
7,106,7,32.5,7,31.156
7.1,103.95,7.1,33.305,7.1,31.9418
7.2,101.8,7.2,34.12,7.2,32.7376
7.3,99.55,7.3,34.945,7.3,33.5434
7.4,97.2,7.4,35.78,7.4,34.3592
7.5,94.75,7.5,36.625,7.5,35.185
7.6,92.2,7.6,37.48,7.6,36.0208
7.7,89.55,7.7,38.345,7.7,36.8666
7.8,86.8,7.8,39.22,7.8,37.7224
7.9,83.95,7.9,40.105,7.9,38.5882
8,81,8,41,8,39.464
8.1,77.95,8.1,41.905,8.1,40.3498
8.2,74.8,8.2,42.82,8.2,41.2456
8.3,71.55,8.3,43.745,8.3,42.1514
8.4,68.2,8.4,44.68,8.4,43.0672
8.5,64.75,8.5,45.625,8.5,43.993
8.6,61.2,8.6,46.58,8.6,44.9288
8.7,57.55,8.7,47.545,8.7,45.8746
8.8,53.8,8.8,48.52,8.8,46.8304
8.9,49.95,8.9,49.505,8.9,47.7962
9,46,9,50.5,9,48.772
9.1,41.95,9.1,51.505,9.1,49.7578
9.2,37.8,9.2,52.52,9.2,50.7536
9.3,33.55,9.3,53.545,9.3,51.7594
9.4,29.2,9.4,54.58,9.4,52.7752
9.5,24.75,9.5,55.625,9.5,53.801
9.6,20.2,9.6,56.68,9.6,54.8368
9.7,15.55,9.7,57.745,9.7,55.8826
9.8,10.8,9.8,58.82,9.8,56.9384
9.9,5.95,9.9,59.905,9.9,58.0042
